Date,Startup_Name,Sector,City,Funding_Type,Funding_Amount,Education_Background,Age_Group,Professional_Background,Gender_Mix,Initial_Investment,Burn_Rate,Revenue_Model,Customer_Type,City_Tier,Competition_Level,No_of_CoFounders,Status,Survival_Duration_Years
20/11/2019,Clumio,SaaS,"San Jose,",Series C,"13,50,00,000",Stanford,30-39,Entrepreneur,Female-Dominated,3.17,Medium,B2C,B2C,Tier 3,Low,3,Acquired,15
11/11/2019,eBikeGo,Last Mile Transportation,Amritsar,Seed,"3,00,000",IIM,30-39,Engineer,Male-Dominated,1.76,Low,B2B,B2B,Tier 3,High,1,Acquired,11
19/11/2019,Digital Mall Asia,E-Commerce,Delhi,Seed Funding,"22,00,00,000",Stanford,40-49,Consultant,Mixed,3.45,Low,B2C,B2C,Tier 1,Low,5,Failed,4
18/11/2019,Medikabazaar,Healthcare,Mumbai,Series B,"1,58,00,000",IIM,30-39,Entrepreneur,Male-Dominated,1.64,Medium,Mixed,Mixed,Tier 1,Medium,3,Unicorn,4
15/11/2019,Vogo Automotive,Last Mile Transportation,Kormangala,Series B,"28,30,00,000",Arts,40-49,Consultant,Female-Dominated,1.08,Low,B2B,B2B,Tier 3,High,5,Active,12
19/11/2019,Furtados School of Music,Education,Tulangan,,"20,00,00,000",IIM,20-29,Consultant,Mixed,0.31,Low,B2C,B2C,Tier 3,High,4,Acquired,14
25/11/2019,Paytm,FinTech,Noida,Funding Round,"1,00,00,00,000",Dropout,20-29,Consultant,Male-Dominated,0.47,Low,B2B,B2B,Tier 3,Low,5,Failed,6
04/10/2019,Dunzo,Customer Service,Bengaluru,Series D,"4,50,00,000",IIM,30-39,Engineer,Male-Dominated,0.93,Low,Mixed,Mixed,Tier 3,High,3,Failed,11
02/10/2019,Udaan,B2B,Bengaluru,Series D,"58,50,00,000",IIM,20-29,Consultant,Mixed,2.99,High,Mixed,Mixed,Tier 3,Medium,4,Failed,4
21/10/2019,The Man Company,Consumer Goods,Gurgaon,Corporate Round,unknown,Arts,50-59,Corporate,Female-Dominated,2.44,Low,B2C,B2C,Tier 3,High,1,Active,15
05/09/2019,FPL Technologies,FinTech,Pune,Maiden Round,"45,00,000",IIM,40-49,Consultant,Mixed,3.03,Low,B2B,B2B,Tier 2,High,2,Unicorn,7
04/09/2019,Cashflo,FinTech,Mumbai,Series A,"33,00,000",MBA,30-39,Corporate,Male-Dominated,2.75,Low,B2B,B2B,Tier 1,Low,3,Failed,8
04/09/2019,Digital F5,"Advertising, Marketing",Mumbai,Private Equity Round,"60,00,000",IIT,50-59,Entrepreneur,Female-Dominated,3.83,Low,B2C,B2C,Tier 1,Medium,3,Acquired,2
04/09/2019,3rdFlix,SaaS,Hyderabad,pre-series A,"50,00,000",IIM,30-39,Engineer,Mixed,3.03,High,Mixed,Mixed,Tier 2,Medium,2,Failed,8
04/09/2019,75F,IoT,Burnsville,Series A,"1,80,00,000",IIM,30-39,Entrepreneur,Male-Dominated,2.79,Low,Mixed,Mixed,Tier 3,Low,3,Failed,5
04/09/2019,Myelin Foundry,Information Technology,Bengaluru,Seed,"10,00,000",IIT,20-29,Corporate,Male-Dominated,2.46,Low,B2B,B2B,Tier 3,Medium,1,Failed,15
04/09/2019,Atomberg Technology,Consumer Technology,Mumbai,Series A,"1,00,00,000",IIT,20-29,Corporate,Mixed,4.84,Medium,B2B,B2B,Tier 1,High,3,Active,14
04/09/2019,GOQii,Health and Wellness,Menlo Park,Series C,"45,00,00,000",Harvard,20-29,Consultant,Mixed,4.11,Medium,B2B,B2B,Tier 3,Medium,5,Failed,14
03/09/2019,Vyapar App,Accounting,Bengaluru,Series A,"50,00,000",IIM,40-49,Engineer,Male-Dominated,0.46,Medium,Mixed,Mixed,Tier 3,Low,2,Acquired,6
01/08/2019,CarDekho,E-Commerce,Gurgaon,Series C,"2,00,00,000",Stanford,40-49,Entrepreneur,Male-Dominated,4.08,Medium,B2C,B2C,Tier 3,Low,3,Acquired,9
01/08/2019,Progcap,Finance,New Delhi,Series A,"50,00,000",IIT,20-29,Corporate,Male-Dominated,2.34,Low,Mixed,Mixed,Tier 3,High,3,Active,14
01/08/2019,MyPetrolPump,Retail,Bengaluru,Seed Funding Round,"16,00,000",IIT,30-39,Entrepreneur,Male-Dominated,4.11,High,B2B,B2B,Tier 3,Low,2,Acquired,3
01/08/2019,Alteria Capital,Finance,Mumbai,Single Venture,"14,00,00,000",IIM,20-29,Engineer,Male-Dominated,3.17,Medium,B2B,B2B,Tier 1,High,4,Active,5
01/08/2019,Pine Labs,Information Technology,Noida,Corporate Round,"3,80,80,000",Harvard,20-29,Engineer,Male-Dominated,3.42,Medium,Mixed,Mixed,Tier 3,High,4,Failed,12
12/08/2019,Meesho,E-Commerce,Bengaluru,Series D,"12,50,00,000",IIM,50-59,Corporate,Male-Dominated,4.08,Medium,B2C,B2C,Tier 3,Low,3,Acquired,14
13/08/2019,Cars24,E-Commerce,Gurugram,Series D,"1,10,00,000",MBA,40-49,Engineer,Male-Dominated,3.72,Medium,B2C,B2C,Tier 3,Medium,5,Unicorn,4
13/08/2019,Uniphore,Customer Service Platform,Palo Alto,Series C,"5,10,00,000",IIM,30-39,Engineer,Male-Dominated,1.31,High,B2C,B2C,Tier 3,Medium,4,Failed,14
23/08/2019,Zendrive,Automotive,San Francisco,Series B,"3,70,00,000",Stanford,20-29,Corporate,Mixed,0.18,Low,B2C,B2C,Tier 3,Low,3,Active,6
23/08/2019,Lo! Foods,Consumer Goods,Bengaluru,Seed Round,"5,00,000",IIM,40-49,Corporate,Female-Dominated,4.11,High,B2C,B2C,Tier 3,Medium,2,Active,2
23/08/2019,Tala,FinTech,Santa Monica,Series D,"11,00,00,000",IIM,20-29,Engineer,Mixed,0.09,Low,Mixed,Mixed,Tier 3,Low,5,Failed,4
22/08/2019,INDwealth,FinTech,Gurgaon,Venture Round,"1,50,00,000",IIM,20-29,Corporate,Mixed,3.99,High,B2B,B2B,Tier 3,Medium,4,Active,6
21/08/2019,HungerBox,Food and Beverage,Bengaluru,Series C,"65,90,000",Stanford,20-29,Consultant,Male-Dominated,0.08,Medium,B2B,B2B,Tier 3,Medium,5,Acquired,13
23/08/2019,AdmitKard,EdTech,Noida,Seed Round,"10,00,000",MBA,40-49,Entrepreneur,Female-Dominated,3.46,Medium,B2C,B2C,Tier 3,Medium,2,Failed,11
19/08/2019,Mishry Reviews,Services,Gurgaon,Series A,Undisclosed,IIM,30-39,Engineer,Male-Dominated,2.24,Medium,Mixed,Mixed,Tier 3,High,2,Acquired,8
19/08/2019,Grofers,E-Commerce,Gurgaon,Series F,"7,00,00,000",IIM,30-39,Entrepreneur,Male-Dominated,0.97,Low,B2C,B2C,Tier 3,High,4,Failed,3
27/08/2019,Rapido Bike Taxi,Transportation,Bengaluru,Series B,"3,90,00,00,000",Dropout,30-39,Corporate,Male-Dominated,4.61,Low,B2C,B2C,Tier 3,Low,5,Active,7
02/07/2019,RenewBuy,Finance,Gurgaon,Series B,"1,90,00,000",IIT,30-39,Engineer,Male-Dominated,3.77,Low,B2C,B2C,Tier 3,Medium,5,Failed,14
02/07/2019,Atlan,Information Technology,Singapore,Pre-Series A,"25,00,000",IIT,20-29,Engineer,Male-Dominated,2.08,Medium,B2B,B2B,Tier 3,High,2,Active,14
01/07/2019,WizCounsel,Compliance,New Delhi,Angel,"1,45,000",IIT,20-29,Teacher,Mixed,2.96,Low,Mixed,Mixed,Tier 3,High,1,Acquired,15
03/07/2019,Ola Cabs,Transport,Kormangala,Series J,"10,00,000",IIT,30-39,Corporate,Male-Dominated,3.67,High,B2C,B2C,Tier 3,Medium,2,Unicorn,8
01/07/2019,Uniphore,Artificial Intelligence,Taramani,Series C,"3,80,80,000",Dropout,40-49,Engineer,Male-Dominated,3.54,Medium,Mixed,Mixed,Tier 3,High,3,Failed,8
04/07/2019,Daalchini Technologies,Food and Beverage,New Delhi,Seed Round,"5,00,000",IIT,30-39,Entrepreneur,Female-Dominated,0.43,Low,B2C,B2C,Tier 3,Low,2,Unicorn,9
10/07/2019,"""BYJU\\'S""",EdTech,Bengaluru,Private Equity Round,"15,00,00,000",Dropout,40-49,Engineer,Mixed,2.33,Low,B2C,B2C,Tier 3,Medium,4,Failed,1
11/07/2019,Moglix,E-Commerce,Singapore,Series D,"6,00,00,000",IIM,20-29,Engineer,Female-Dominated,4.19,Medium,B2C,B2C,Tier 3,High,3,Active,4
10/07/2019,Ezyhaul,Tech,Singapore,Series B,"1,60,00,000",MBA,20-29,Corporate,Mixed,2.76,High,B2B,B2B,Tier 3,Low,4,Acquired,12
10/07/2019,Indus OS,Tech,Andheri,Series B,"57,50,000",IIT,50-59,Entrepreneur,Male-Dominated,2.25,Medium,Mixed,Mixed,Tier 3,Low,3,Unicorn,14
10/07/2019,HealthAssure,Health Care,Mumbai,Series A,"25,00,000",Harvard,30-39,Corporate,Mixed,3.43,Medium,B2C,B2C,Tier 1,Low,4,Active,6
09/07/2019,House of Msasaba,Luxury Label,Mumbai,Series A,"10,00,000",Arts,20-29,Consultant,Male-Dominated,2.62,Medium,B2C,B2C,Tier 1,Low,2,Active,1
08/07/2019,Board Infinity,EdTech,Chembur,Angel Round,"3,19,605",MBA,20-29,Engineer,Male-Dominated,2.55,Medium,Mixed,Mixed,Tier 3,Medium,1,Unicorn,13
05/06/2019,NoBroker,E-Commerce,Bengaluru,Series C,"5,10,00,000",Harvard,40-49,Engineer,Mixed,1.88,Low,B2B,B2B,Tier 3,Low,3,Unicorn,8
04/06/2019,Bira91,Food and Beverage,New Delhi,Debt Funding,"1,00,00,000",IIT,40-49,Entrepreneur,Male-Dominated,2.13,Low,B2B,B2B,Tier 3,Medium,3,Failed,8
03/06/2019,FabHotels,E-Commerce,Gurgaon,,"48,89,975.54",IIT,40-49,Engineer,Male-Dominated,3.3,High,B2C,B2C,Tier 3,Medium,4,Active,2
03/06/2019,Avail Finance,Finance,Bengaluru,Series A,"90,00,000",MBA,40-49,Engineer,Male-Dominated,1.63,Medium,Mixed,Mixed,Tier 3,Low,5,Active,2
04/06/2019,BharatPe,Finance,New Delhi,Series B,"7,50,00,000",Harvard,30-39,Entrepreneur,Male-Dominated,0.31,Medium,B2B,B2B,Tier 3,High,4,Unicorn,13
04/06/2019,Recykal,Waste Management Service,Hyderabad,pre-Series A,"2,60,00,000",IIT,50-59,Engineer,Male-Dominated,1.85,Low,Mixed,Mixed,Tier 2,Low,3,Acquired,14
03/06/2019,Agara Labs,Deep-Tech,Bengaluru,pre-Series A,"25,00,000",IIT,30-39,Engineer,Male-Dominated,3.53,Low,B2B,B2B,Tier 3,High,3,Unicorn,15
06/06/2019,Sistema.bio,Agriculture,Nairobi,,"27,39,034.68",MBA,20-29,Entrepreneur,Male-Dominated,1.14,Medium,B2C,B2C,Tier 3,Medium,3,Acquired,3
06/06/2019,Chakr Innovation,Energy,New Delhi,Series A,"2,60,00,000",Commerce,30-39,Engineer,Female-Dominated,0.44,Low,B2C,B2C,Tier 3,Medium,3,Acquired,4
06/06/2019,Pratilipi,Digital Media,Bengaluru,Series B,"1,51,09,500.00",Arts,30-39,Corporate,Male-Dominated,1.1,Medium,B2C,B2C,Tier 3,High,3,Acquired,3
10/06/2019,Bolo App,Digital Media,Bengaluru,Seed Funding,"4,30,200",IIM,20-29,Engineer,Female-Dominated,1.87,Medium,Mixed,Mixed,Tier 3,Low,2,Unicorn,12
10/06/2019,OkCredit,FinTech,Haryana,Series A,"1,55,00,000",Dropout,40-49,Engineer,Male-Dominated,0.63,High,B2C,B2C,Tier 3,High,5,Acquired,12
06/06/2019,Biz2Credit,FinTech,New York,Series B,"5,20,00,000",IIT,40-49,Corporate,Mixed,4.82,Medium,B2B,B2B,Tier 3,Low,4,Acquired,6
08/06/2019,Vogo Automotive Pvt. Ltd.,Transportation,Karnataka,Debt Funding,"35,84,000",IIM,30-39,Entrepreneur,Female-Dominated,0.53,Low,Mixed,Mixed,Tier 3,Medium,4,Failed,10
04/06/2019,Leegality,Services,Mumbai/Bengaluru,Series A,"34,00,000",Stanford,50-59,Consultant,Mixed,4.86,Medium,B2C,B2C,Tier 3,Low,4,Active,5
06/05/2019,Ola Electric,Transport,Bengaluru,Series A,undisclosed,IIT,20-29,Engineer,Male-Dominated,4.77,Medium,B2B,B2B,Tier 3,High,1,Unicorn,9
06/05/2019,Saahas Zero Waste,Waste Management Service,Bengaluru,Venture - Series Unknown,"8,68,600",MBA,30-39,Corporate,Mixed,1.99,High,Mixed,Mixed,Tier 3,Medium,2,Acquired,7
05/05/2019,StyleDotMe,E-commerce,Delhi,Bridge Round,undisclosed,Dropout,40-49,Engineer,Female-Dominated,1.06,Low,B2C,B2C,Tier 1,Low,1,Unicorn,5
01/05/2019,BlackBuck,Transport,Bengaluru,Series D,"15,00,00,000",Dropout,20-29,Engineer,Female-Dominated,1.16,Low,Mixed,Mixed,Tier 3,High,3,Unicorn,15
02/05/2019,Zenoti,Saas,Hyderabad,Series C,"5,00,00,000",MBA,20-29,Engineer,Mixed,0.76,Low,Mixed,Mixed,Tier 2,High,3,Active,2
28/05/2019,Ather Energy,Automobile,Bengaluru,Series C,"5,10,00,000",Harvard,40-49,Engineer,Mixed,3.61,Medium,Mixed,Mixed,Tier 3,High,5,Unicorn,6
28/05/2019,FreshVnF,Agtech,Mumbai,Seed Round,"14,00,00,000",MBA,30-39,Corporate,Male-Dominated,1.02,Medium,Mixed,Mixed,Tier 1,Low,3,Unicorn,13
30/05/2019,GlowRoad,E-commerce,Bengaluru,Series B,"1,15,00,000",IIM,20-29,Engineer,Male-Dominated,3.16,Medium,B2B,B2B,Tier 3,Medium,4,Acquired,7
31/05/2019,Bira91,Food and Beverage,New Delhi,Series B,"56,00,000",MBA,40-49,Consultant,Male-Dominated,0.61,Low,Mixed,Mixed,Tier 3,Low,4,Active,5
16/04/2019,Kuvera,Finance,Bengaluru,Series A,"4,50,00,000",Commerce,30-39,Consultant,Mixed,1.54,Medium,Mixed,Mixed,Tier 3,Low,3,Acquired,15
12/04/2019,Medlife,E-commerce,Bengaluru,Private Equity,"1,70,00,000",Arts,30-39,Engineer,Male-Dominated,2.97,Medium,Mixed,Mixed,Tier 3,Medium,5,Unicorn,9
10/04/2019,Kabadiwala,E-commerce,Bhopal,Private Equity,"4,30,665",IIM,20-29,Entrepreneur,Male-Dominated,4.35,High,B2C,B2C,Tier 3,High,1,Acquired,5
13/04/2019,Tripoto,Social Media,New Delhi,Series B,"35,91,375",MBA,40-49,Consultant,Mixed,4.68,High,B2B,B2B,Tier 3,High,3,Unicorn,14
12/04/2019,Azah,Health and Wellness,Gurugram,Seed Funding,"2,00,000",IIT,30-39,Consultant,Female-Dominated,2.71,High,B2B,B2B,Tier 3,Low,1,Active,4
11/04/2019,Setu,Fintech,Bengaluru,Seed Funding,"35,00,000",Harvard,30-39,Corporate,Mixed,2.65,Low,B2C,B2C,Tier 3,High,2,Acquired,5
10/04/2019,Toppr,Edtech,Mumbai,Debt and Preference capital,"63,20,820",MBA,20-29,Engineer,Male-Dominated,1.18,High,Mixed,Mixed,Tier 1,Medium,5,Failed,7
10/04/2019,Craftsvilla,E-commerce,Mumbai,Inhouse Funding,"24,43,495",MBA,40-49,Consultant,Male-Dominated,2.49,Low,B2C,B2C,Tier 1,Low,2,Active,10
10/04/2019,Unacademy,Edtech,Bengaluru,Seed/ Angel Funding,"3,07,000",Arts,20-29,Consultant,Male-Dominated,4.61,Low,B2B,B2B,Tier 3,Medium,1,Unicorn,5
11/04/2019,CleverTap,SaaS,Mumbai,Series B,"2,60,00,000",Commerce,30-39,Corporate,Male-Dominated,1.98,Low,Mixed,Mixed,Tier 1,High,3,Acquired,15
19/04/2019,My Healthcare,E-commerce,Bengaluru and Gurugram,Series A,"30,00,000",IIM,40-49,Engineer,Male-Dominated,4.38,Low,B2B,B2B,Tier 3,Low,2,Failed,13
19/04/2019,KrazyBee,E-commerce,Bengaluru,Debt,"14,342,000+",Arts,20-29,Engineer,Female-Dominated,3.04,Medium,B2B,B2B,Tier 3,High,2,Failed,15
17/04/2019,Shuttl,Transportation,Gurugram,Venture Round,"50,00,000",Arts,20-29,Engineer,Mixed,0.92,High,B2C,B2C,Tier 3,Low,4,Acquired,9
17/04/2019,Increff,Technology,Bengaluru,Series A,"30,00,000",MBA,20-29,Corporate,Male-Dominated,0.53,Low,B2B,B2B,Tier 3,Medium,3,Acquired,11
01/02/2019,FleetX,AI,Gurgaon,Pre Series A,Undisclosed,Commerce,30-39,Consultant,Mixed,0.31,Medium,B2B,B2B,Tier 3,High,2,Failed,10
08/02/2019,Zilingo,Ecommerce,India/Singapore,Series D,"22,60,00,000",MBA,40-49,Corporate,Mixed,4.63,High,B2C,B2C,Tier 3,Medium,4,Acquired,3
13/02/2019,NanoClean Global,Nanotechnology,New Delhi,Series A,"6,00,000",IIM,20-29,Teacher,Male-Dominated,2.35,High,Mixed,Mixed,Tier 3,High,1,Failed,14
14/02/2018,OyoRooms,Hospitality,Gurgaon,Equity,"10,00,00,000",IIT,20-29,Consultant,Mixed,3.85,Medium,B2C,B2C,Tier 3,Low,4,Unicorn,11
03/01/2019,CarDekho,Automobile,Jaipur,Series C,"11,00,00,000",IIM,30-39,Corporate,Mixed,1.14,Medium,B2B,B2B,Tier 3,Medium,3,Acquired,7
04/01/2019,Vyome Therapeutics Inc.,Health and Wellness,India/US,Series D,"2,20,00,000",IIM,20-29,Consultant,Male-Dominated,0.9,High,B2B,B2B,Tier 3,Medium,5,Failed,15
04/01/2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Chennai,Debt-Funding,"50,00,000",IIM,20-29,Consultant,Mixed,2.26,Medium,B2C,B2C,Tier 2,Low,2,Unicorn,14
04/12/2018,Manch,Social Media,Delhi,Seed Funding,"7,00,000",Dropout,40-49,Engineer,Mixed,0.14,Low,Mixed,Mixed,Tier 1,High,2,Acquired,2
01/12/2018,UrbanClap Technologies Pvt. Ltd,Services Platform,New Delhi,Series D,"5,00,00,000",IIT,20-29,Consultant,Mixed,0.76,High,Mixed,Mixed,Tier 3,High,4,Failed,9
02/12/2018,Guiddoo,Travel Tech,Mumbai,Pre-Series A,"8,00,000",Stanford,20-29,Teacher,Male-Dominated,4.1,Medium,B2B,B2B,Tier 1,Low,1,Unicorn,9
02/12/2018,Career Anna,Online Education,Gurugram,Pre-Series A,"5,72,000",IIM,30-39,Engineer,Mixed,0.39,High,B2C,B2C,Tier 3,Low,2,Active,1
04/12/2018,Nagpur Wholesale,Online Marketplace,Nagpur,Seed Funding,"1,43,000",IIM,20-29,Entrepreneur,Male-Dominated,4.77,Low,B2B,B2B,Tier 3,Low,2,Unicorn,10
06/12/2018,ShopKirana,B2B,Indore,Seed Funding,"20,00,000",IIM,30-39,Corporate,Male-Dominated,2.42,High,B2B,B2B,Tier 3,Low,4,Active,5
06/12/2018,BuildSupply,"SaaS, Ecommerce",Gurugram,Series A,"35,00,000",IIM,20-29,Entrepreneur,Male-Dominated,1.44,High,B2C,B2C,Tier 3,Medium,3,Acquired,3
01/11/2018,GoDesi,Food and Beverage,Bengaluru,Seed/ Angel Funding,"1,38,995",Dropout,30-39,Entrepreneur,Male-Dominated,0.05,High,B2B,B2B,Tier 3,Medium,1,Failed,7
03/11/2018,Veritas Finance Ltd.,NBFC,Chennai,Series D,"2,77,99,000",IIT,30-39,Teacher,Mixed,0.69,Medium,B2C,B2C,Tier 2,High,3,Failed,6
06/11/2018,Meesho,Ecommerce,Bengaluru,Series C,"5,00,00,000",MBA,30-39,Engineer,Male-Dominated,1.73,Medium,Mixed,Mixed,Tier 3,High,3,Failed,6
08/11/2018,Mobile Premier League,Gaming,Bengaluru,Series A,"5,00,000",Arts,20-29,Engineer,Mixed,1.47,Medium,B2C,B2C,Tier 3,Low,1,Acquired,15
08/11/2018,A&R Bon Vivants,Food,Jaipur,Equity,"10,00,000",MBA,30-39,Engineer,Mixed,0.71,Medium,Mixed,Mixed,Tier 3,High,1,Acquired,3
12/11/2018,Blackbuck,Food Tech,"New York, Bengaluru",Series A,"10,00,000",IIT,20-29,Consultant,Mixed,3.19,Medium,B2C,B2C,Tier 3,Low,2,Unicorn,14
12/11/2018,MilkBAsket,Food,New Delhi,Series B,"13,00,000",Arts,20-29,Consultant,Male-Dominated,4.99,Medium,Mixed,Mixed,Tier 3,Medium,4,Acquired,4
13/11/2018,DriveU,Transport,Bengaluru,Mezzanine,"10,00,000",Dropout,20-29,Engineer,Male-Dominated,0.08,Low,B2B,B2B,Tier 3,High,2,Active,4
14/11/2018,CleanseCar,Services,Bengaluru,Seed/ Angel Funding,"5,00,000",MBA,20-29,Consultant,Male-Dominated,0.13,Medium,B2C,B2C,Tier 3,High,2,Failed,3
19/11/2018,Automation Anywhere,Automation,California,Series B,"30,00,00,000",IIT,20-29,Consultant,Mixed,3.48,Low,B2C,B2C,Tier 3,Low,4,Acquired,11
20/11/2018,HealthifyMe,Health and Wellness,Bengaluru,Series B (Extension),"60,00,000",MBA,40-49,Consultant,Mixed,3.36,Medium,B2C,B2C,Tier 3,Low,5,Active,4
21/11/2018,Genius Corner,Education,Noida,Seed Funding,"2,78,000",Dropout,20-29,Entrepreneur,Male-Dominated,2.49,Medium,B2C,B2C,Tier 3,Medium,2,Failed,8
22/11/2018,Aavishkaar-Intellecap Group,Investment,Mumbai,Equity Based Funding,"3,10,00,000",IIM,30-39,Engineer,Male-Dominated,2.4,Medium,B2B,B2B,Tier 1,High,3,Acquired,2
22/11/2018,Skillbox,Social Network,Gurugram,Seed Funding,Undisclosed,Harvard,30-39,Consultant,Male-Dominated,0.56,Low,B2C,B2C,Tier 3,High,2,Unicorn,12
23/11/2018,Signzy,Financial Tech,Mumbai/Bengaluru,Series A,"34,00,000",IIM,20-29,Engineer,Male-Dominated,1.32,Medium,B2B,B2B,Tier 3,Low,3,Unicorn,4
24/11/2018,Engineer.ai,Software,India/US,Series A,"2,95,00,000",IIT,40-49,Consultant,Male-Dominated,1.18,High,Mixed,Mixed,Tier 3,Low,3,Acquired,15
25/11/2018,InCred Finance,Finance,India,Private Equity,"4,20,00,000",IIM,40-49,Engineer,Male-Dominated,2.51,Medium,Mixed,Mixed,Tier 3,Low,5,Unicorn,8
25/11/2018,Roposo,Social Media,Delhi,Series B,"17,00,000",Commerce,20-29,Engineer,Mixed,3.77,High,B2B,B2B,Tier 1,High,2,Acquired,11
01/10/2018,Northmist,Fashion,Delhi,Seed/ Angel Funding,,MBA,40-49,Consultant,Mixed,1.39,Medium,B2C,B2C,Tier 1,High,1,Acquired,10
02/10/2018,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,Seed/ Angel Funding,"1,10,00,000",IIT,20-29,Corporate,Male-Dominated,0.46,Low,B2B,B2B,Tier 2,High,4,Unicorn,10
